Wordlist has 24 languages, and 1310 concepts in 26685 words.
Minimum mutual coverage is at 58 concept pairs.
Average coverage is at 0.50

Pairwise alignment with threshold 0.275 and delta threshold 0.10.
Family           Language          Concepts    Spanish    Portuguese    Combined    SpanishP    PortugueseP    CombinedP
---------------  --------------  ----------  ---------  ------------  ----------  ----------  -------------  -----------
Arawakan         MashcoPiro             459       9.50         12.50       15.00        0.02           0.03         0.03
Aymaran          Aymara                 957      43.33         20.00       50.33        0.05           0.02         0.05
Cayubaba         Cayuvava               662      17.33         13.75       23.42        0.03           0.02         0.04
Chapacuran       PacaasNovos            186       1.00          1.00        1.00        0.01           0.01         0.01
Chicham          Aguaruna              1160      14.00         12.00       19.50        0.01           0.01         0.02
Itonama          Itonama                676       6.00          9.00       11.00        0.01           0.01         0.02
Mosetén-Chimané  Moseten               1035      82.50         44.50       93.00        0.08           0.04         0.09
Movima           Movima                1036      60.00         24.00       68.00        0.06           0.02         0.07
Pano-Tacanan     Araona                 802       9.50          4.50       11.00        0.01           0.01         0.01
Pano-Tacanan     Cashibo                648       3.00          4.00        5.50        0.00           0.01         0.01
Pano-Tacanan     Catuquina             1055      17.00         18.00       27.00        0.02           0.02         0.03
Pano-Tacanan     Cavinena               943      18.50         15.00       25.00        0.02           0.02         0.03
Pano-Tacanan     Chacobo                836       9.00          9.00       14.50        0.01           0.01         0.02
Pano-Tacanan     EseEjja                724       1.50          3.50        4.00        0.00           0.00         0.01
Pano-Tacanan     HuarayoEseEjja         659       0.00          0.00        0.00        0.00           0.00         0.00
Pano-Tacanan     Pacahuara               93       1.00          1.00        2.00        0.01           0.01         0.02
Pano-Tacanan     ShipiboConibo          918      24.00         13.33       30.33        0.03           0.01         0.03
Pano-Tacanan     Tacana                 903      13.00          9.00       18.00        0.01           0.01         0.02
Pano-Tacanan     Yaminahua             1129      49.17         36.50       64.67        0.04           0.03         0.06
Peba-Yagua       Yagua                 1179      22.00         18.92       32.75        0.02           0.02         0.03
Total                                 16060     401.33        269.50      516.00        0.02           0.02         0.03

Threshold: 0.275.
Language          tp     tn    fp    fn    precision    recall    F1 score    accuracy
--------------  ----  -----  ----  ----  -----------  --------  ----------  ----------
Aguaruna          19   1212     2    25        0.905     0.432       0.585       0.979
Araona             5   1108     9     3        0.357     0.625       0.455       0.989
Aymara            35    958    17    16        0.673     0.686       0.680       0.968
Cashibo            0    737     7     0        0.000     0.000       0.000       0.991
Catuquina         19   1067    12    26        0.613     0.422       0.500       0.966
Cavinena          22    952     4    27        0.846     0.449       0.587       0.969
Cayuvava          16   1104    18    16        0.471     0.500       0.485       0.971
Chacobo            2    992    16     9        0.111     0.182       0.138       0.975
EseEjja            3    956     2     7        0.600     0.300       0.400       0.991
HuarayoEseEjja     0    708     0     2        0.000     0.000       0.000       0.997
Itonama            8    880     3    11        0.727     0.421       0.533       0.984
MashcoPiro         4    547    11     7        0.267     0.364       0.308       0.968
Moseten           87   1032    11    32        0.888     0.731       0.802       0.963
Movima            67    949     0    22        1.000     0.753       0.859       0.979
PacaasNovos        1    227     0     0        1.000     1.000       1.000       1.000
Pacahuara          1     98     1     0        0.500     1.000       0.667       0.990
ShipiboConibo     21   1272    15    26        0.583     0.447       0.506       0.969
Tacana            12   1157     6    15        0.667     0.444       0.533       0.982
Yagua             31   1678    10    57        0.756     0.352       0.481       0.962
Yaminahua         57   1209    14    67        0.803     0.460       0.585       0.940
Total            410  18843   158   368        0.722     0.527       0.609       0.973
Total: borrowed 778, inherited 19001, total 19779

Threshold: 0.275.
Language Family      tp     tn    fp    fn    precision    recall    F1 score    accuracy
-----------------  ----  -----  ----  ----  -----------  --------  ----------  ----------
Arawakan              4    547    11     7        0.267     0.364       0.308       0.968
Aymaran              35    958    17    16        0.673     0.686       0.680       0.968
Cayubaba             16   1104    18    16        0.471     0.500       0.485       0.971
Chapacuran            1    227     0     0        1.000     1.000       1.000       1.000
Chicham              19   1212     2    25        0.905     0.432       0.585       0.979
Itonama               8    880     3    11        0.727     0.421       0.533       0.984
Mosetén-Chimané      87   1032    11    32        0.888     0.731       0.802       0.963
Movima               67    949     0    22        1.000     0.753       0.859       0.979
Pano-Tacanan        142  10256    86   182        0.623     0.438       0.514       0.975
Peba-Yagua           31   1678    10    57        0.756     0.352       0.481       0.962
Total               410  18843   158   368        0.722     0.527       0.609       0.973
Total: borrowed 778, inherited 19001, total 19779
